year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,int_volume,total_sales
2033,conv,truck,32.82,7.2,555,19.82,5,20.686175580222,0,437,0,0,142,10934.7203092715
2033,conv,van,22.95,10.3,480,30.73,5,13.3420110641067,0,437,0,0,286,2046.06599253068
2033,ev,car,49.027,5.6,339,138.309,645,3.6,82.6,196.65,7500,0,105,7264.79176179832
2033,ev,suv,47.201,4.6,338,130.776,680,3.8,87.1,196.65,7500,0,162,66818.2775010707
2033,ev,truck,48.855,6.4,261,73.359,937,6.7,119.9,196.65,7500,0,128,595.636516940199
2033,hybrid,car,31.944,8.8,805,45.43,5,9.02487343165309,0.5,437,0,1.5,111,6828.42216926049
2033,hybrid,suv,44.303,7.6,953,45.77,5,8.95783264146821,1.4,437,0,1.5,181,1955.30553256894
2033,hybrid,truck,29.487,10.4,667,52.5,5,7.80952380952381,1.3,437,0,1.5,131,189.242148809232
2033,phev,car,37.73,7.7,820,48.82,291,5.3,16,275.31,7087,7.5,94,1541.16586137417
2033,phev,suv,32.798,5.6,750,36.29,487,5.5,26.8,275.31,7500,7.5,163,39930.7549600637
2033,phev,truck,35.599,8,263,30.35,487,6.8,26.8,275.31,7500,7.5,126,1242.18131311199
2034,conv,car,23.29,7.9,610,30.97,5,13.2386180174362,0,437,0,0,116,101489.960533072
2034,conv,suv,33.825,7.2,511,24.96,5,16.426282051282,0,437,0,0,173,70215.601082708
2034,conv,truck,32.82,7.2,555,20.03,5,20.4692960559161,0,437,0,0,142,10302.825104862
2034,conv,van,22.95,10.3,480,31.07,5,13.1960090119086,0,437,0,0,286,2007.23125391054
2034,ev,car,48.959,5.6,339,138.309,645,3.6,82.6,196.65,7500,0,105,7303.14989345572
2034,ev,suv,47.131,4.6,338,130.776,680,3.8,87.1,196.65,7500,0,162,73378.2041012696
2034,ev,truck,53.398,5.8,252,70.829,937,7,119.9,196.65,7500,0,136,689.169220919736
2034,hybrid,car,33.657,8.8,861,49.04,5,8.3605220228385,0.5,437,0,1.5,116,6341.0342335412
