year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,sales
2015,conv,car,34.21,7.6,517,25.92,5,12.4266975308642,0,437,0,0,325.218304066607
2015,conv,car,47.655,6,422,21.13,5,15.2437292948415,0,437,0,0,183.922530461852
2015,conv,car,38.24,6.4,466,23.36,5,13.7885273972603,0,437,0,0,314.294964649177
2015,conv,car,70.895,5.3,372,16.58,5,19.4270205066345,0,437,0,0,115.177146838065
2015,conv,car,60.335,5.4,466,19.68,5,16.3668699186992,0,437,0,0,186.559466843542
2015,conv,car,54.965,6.9,472,19.93,5,16.1615654791771,0,437,0,0,126.245230247769
2015,conv,car,46.34,6.8,559,23.62,5,13.6367485182049,0,437,0,0,240.344680160661
2015,conv,car,56.965,6.4,477,20.13,5,16.0009935419771,0,437,0,0,140.209158398192
2015,conv,car,48.34,6.9,513,21.65,5,14.8775981524249,0,437,0,0,190.494223240929
2015,conv,suv,72.69,6.8,526,16.23,5,19.8459642637092,0,437,0,0,145.675156892314
2015,conv,suv,75.29,6.8,525,16.19,5,19.8949969116739,0,437,0,0,136.600800929192
2015,conv,suv,75.69,6.8,637,16.48,5,19.5449029126214,0,437,0,0,165.05318370766
2015,conv,suv,78.29,6.8,627,16.21,5,19.8704503392967,0,437,0,0,184.237284438456
2015,conv,suv,38.6,6.9,524,20,5,16.105,0,437,0,0,627.084811257661
2015,conv,suv,47.13,6.9,519,19.81,5,16.2594649167087,0,437,0,0,465.322222794995
2015,conv,car,45.595,8,418,17.64,5,18.2596371882086,0,437,0,0,192.682390829646
2015,conv,car,51.995,6.8,509,20.4,5,15.7892156862745,0,437,0,0,204.804568268272
2015,conv,car,73.3,5.4,438,18.48,5,17.4296536796537,0,437,0,0,100.057255831993
2015,conv,car,35.795,5.6,476,20.1,5,16.0248756218905,0,437,0,0,552.02132437825
2015,conv,car,24.7,6.5,547,23.11,5,13.9376893119862,0,437,0,0,1250.49699234375
2015,conv,car,56.5,5.3,426,17.97,5,17.9243183082916,0,437,0,0,180.667259381469
2015,conv,car,24.37,8.6,598,25.24,5,12.7614896988907,0,437,0,0,595.394762877349
2015,conv,van,22.95,10.3,480,26.55,5,12.1318267419962,0,437,0,0,718.083033987064
2015,conv,truck,29.505,7.1,488,18.64,5,17.2800429184549,0,437,0,0,608.518108573706
2015,conv,truck,26.045,8.8,594,22.67,5,14.208204675783,0,437,0,0,605.812266578004
2015,conv,truck,33.26,7.1,483,18.46,5,17.4485373781148,0,437,0,0,500.185555153978
2015,conv,truck,30.095,8.8,588,22.45,5,14.347438752784,0,437,0,0,470.283815989326
2015,conv,car,54.995,5.5,448,19.42,5,16.5859938208033,0,437,0,0,72.6927125895984
2015,conv,car,59.995,5.4,437,18.95,5,16.9973614775726,0,437,0,0,15.6634192377311
2015,conv,car,20.92,8.9,636,32.69,5,9.85316610584277,0,437,0,0,2053.53233999638
2015,conv,car,18.57,9.3,587,30.19,5,10.6690957270619,0,437,0,0,1006.64344686386
2015,conv,car,26.485,9.3,736,40.8,5,7.89460784313725,0,437,0,0,792.147654671402
2015,conv,suv,29.295,6.8,475,20.25,5,15.9061728395062,0,437,0,0,651.967894314709
2015,conv,suv,27.145,9.4,543,23.18,5,13.8955996548749,0,437,0,0,1538.67570439928
2015,conv,car,32.795,6.9,509,21.73,5,14.8228255867464,0,437,0,0,591.544286769574
2015,conv,car,27.045,8.6,590,25.18,5,12.7918983320095,0,437,0,0,1744.65061392751
2015,conv,car,31.11,6.8,512,22.21,5,14.5024763619991,0,437,0,0,960.704243510038
2015,conv,car,27.885,8,616,26.69,5,12.0681903334582,0,437,0,0,884.220312287124
